,model,superposition_ratio,masking_ratio,log_likelihood
236,slm_sparse_150epochs,0.25,0.25,-42233.54296875
237,slm_sparse_150epochs,0.25,0.30000000000000004,-45597.46875
238,slm_sparse_150epochs,0.25,0.35000000000000003,-47803.8203125
239,slm_sparse_150epochs,0.25,0.4,-50065.01953125
240,slm_sparse_150epochs,0.25,0.45,-53001.984375
241,slm_sparse_150epochs,0.25,0.5,-58419.99609375
242,slm_sparse_150epochs,0.25,0.55,-61671.74609375
243,slm_sparse_150epochs,0.25,0.6000000000000001,-66649.3515625
244,slm_sparse_150epochs,0.25,0.65,-71418.1875
245,slm_sparse_150epochs,0.25,0.7000000000000001,-78328.1953125
246,slm_sparse_150epochs,0.25,0.75,-86176.65625
247,slm_sparse_150epochs,0.25,0.8,-94899.171875
248,slm_sparse_150epochs,0.25,0.8500000000000001,-108162.0625
249,slm_sparse_150epochs,0.25,0.9,-122972.296875
250,slm_sparse_150epochs,0.25,0.9500000000000001,-148253.0
251,slm_sparse_150epochs,0.25,1.0,-488586.8125
252,slm_sparse_150epochs,0.5,0.0,-61698.0703125
253,slm_sparse_150epochs,0.5,0.05,-63555.1015625
254,slm_sparse_150epochs,0.5,0.1,-64762.37109375
255,slm_sparse_150epochs,0.5,0.15000000000000002,-66049.96875
256,slm_sparse_150epochs,0.5,0.2,-69408.453125
257,slm_sparse_150epochs,0.5,0.25,-71887.7890625
258,slm_sparse_150epochs,0.5,0.30000000000000004,-73425.9609375
259,slm_sparse_150epochs,0.5,0.35000000000000003,-77178.0078125
260,slm_sparse_150epochs,0.5,0.4,-80438.9609375
261,slm_sparse_150epochs,0.5,0.45,-84758.015625
262,slm_sparse_150epochs,0.5,0.5,-90210.6796875
263,slm_sparse_150epochs,0.5,0.55,-93275.265625
264,slm_sparse_150epochs,0.5,0.6000000000000001,-101239.8984375
265,slm_sparse_150epochs,0.5,0.65,-106270.7265625
266,slm_sparse_150epochs,0.5,0.7000000000000001,-114667.171875
267,slm_sparse_150epochs,0.5,0.75,-122510.984375
268,slm_sparse_150epochs,0.5,0.8,-130005.59375
269,slm_sparse_150epochs,0.5,0.8500000000000001,-143052.921875
270,slm_sparse_150epochs,0.5,0.9,-157771.515625
271,slm_sparse_150epochs,0.5,0.9500000000000001,-173109.59375
272,slm_sparse_150epochs,0.5,1.0,-488586.8125
273,slm_sparse_150epochs,0.75,0.0,-104882.4375
274,slm_sparse_150epochs,0.75,0.05,-107558.3828125
275,slm_sparse_150epochs,0.75,0.1,-109421.015625
276,slm_sparse_150epochs,0.75,0.15000000000000002,-113730.3515625
277,slm_sparse_150epochs,0.75,0.2,-116811.8125
278,slm_sparse_150epochs,0.75,0.25,-118634.25
279,slm_sparse_150epochs,0.75,0.30000000000000004,-122805.296875
280,slm_sparse_150epochs,0.75,0.35000000000000003,-125847.9453125
281,slm_sparse_150epochs,0.75,0.4,-129182.609375
282,slm_sparse_150epochs,0.75,0.45,-132876.40625
283,slm_sparse_150epochs,0.75,0.5,-138003.3125
284,slm_sparse_150epochs,0.75,0.55,-141777.375
285,slm_sparse_150epochs,0.75,0.6000000000000001,-144496.125
286,slm_sparse_150epochs,0.75,0.65,-150658.71875
287,slm_sparse_150epochs,0.75,0.7000000000000001,-155168.109375
288,slm_sparse_150epochs,0.75,0.75,-157882.546875
289,slm_sparse_150epochs,0.75,0.8,-166576.578125
290,slm_sparse_150epochs,0.75,0.8500000000000001,-173482.71875
291,slm_sparse_150epochs,0.75,0.9,-180848.75
292,slm_sparse_150epochs,0.75,0.9500000000000001,-215052.953125
293,slm_sparse_150epochs,0.75,1.0,-488586.8125
294,slm_sparse_150epochs,1.0,0.0,-488586.8125
295,slm_sparse_150epochs,1.0,0.05,-488586.8125
296,slm_sparse_150epochs,1.0,0.1,-488586.8125
297,slm_sparse_150epochs,1.0,0.15000000000000002,-488586.8125
298,slm_sparse_150epochs,1.0,0.2,-488586.8125
299,slm_sparse_150epochs,1.0,0.25,-488586.8125
300,slm_sparse_150epochs,1.0,0.30000000000000004,-488586.8125
301,slm_sparse_150epochs,1.0,0.35000000000000003,-488586.8125
